,Geneid,TPM,Log
1,LOC_Os01g01050,33.89640321,1.542780666
2,LOC_Os01g01060,407.2487493,2.610924863
3,LOC_Os01g01070,45.16637886,1.664325811
4,LOC_Os01g01080,169.5075524,2.23174362
5,LOC_Os01g01090,0.022203757,0.009537473
6,LOC_Os01g01100,0.015028774,0.006478354
7,LOC_Os01g01110,0.65153553,0.217887921
8,LOC_Os01g01115,9.084497876,1.003654279
9,LOC_Os01g01120,89.74458099,1.9578207
10,LOC_Os01g01130,65.02089968,1.819681438
11,LOC_Os01g01140,0,0
12,LOC_Os01g01150,69.18028537,1.84621513
13,LOC_Os01g01160,62.34628678,1.801721163
14,LOC_Os01g01170,27.11529961,1.448942716
15,LOC_Os01g01180,11.89711919,1.110492713
16,LOC_Os01g01190,94.13113103,1.97832266
17,LOC_Os01g01200,0.634293201,0.213329974
18,LOC_Os01g01210,1.319091625,0.365317908
19,LOC_Os01g01230,0.06535349,0.027493733
20,LOC_Os01g01240,0.038520224,0.016414958
21,LOC_Os01g01250,0.216832331,0.08523074
22,LOC_Os01g01260,0.279858312,0.107161893
23,LOC_Os01g01270,0.900237404,0.278807862
24,LOC_Os01g01280,72.81355006,1.868136093
25,LOC_Os01g01290,137.5167552,2.14150231
26,LOC_Os01g01295,48.48804669,1.694500312
27,LOC_Os01g01302,102.8055168,2.016220435
28,LOC_Os01g01307,482.2103721,2.684136248
29,LOC_Os01g01312,25.84641387,1.428886281
30,LOC_Os01g01320,0,0
31,LOC_Os01g01330,13.2434391,1.153614863
32,LOC_Os01g01340,1491.743246,3.173985115
33,LOC_Os01g01350,65.32606286,1.821684218
34,LOC_Os01g01360,14.19327612,1.181651431
35,LOC_Os01g01369,117.422177,2.07343304
36,LOC_Os01g01380,13.8383468,1.171385517
37,LOC_Os01g01390,118.2517997,2.076464942
38,LOC_Os01g01400,8.888046727,0.99511051
39,LOC_Os01g01410,75.3338903,1.882717396
40,LOC_Os01g01420,89.54280929,1.956853965
41,LOC_Os01g01430,11.13343656,1.083983824
42,LOC_Os01g01440,0.473190978,0.16825905
43,LOC_Os01g01450,391.2488927,2.593561726
44,LOC_Os01g01460,0,0
45,LOC_Os01g01470,469.6386491,2.672687589
46,LOC_Os01g01484,60.041705,1.785626656
47,LOC_Os01g01500,0,0
48,LOC_Os01g01510,110.1743257,2.046004504
49,LOC_Os01g01520,269.3669852,2.431953658
50,LOC_Os01g01530,0.137163089,0.055822755
51,LOC_Os01g01540,0,0
52,LOC_Os01g01550,0.408830159,0.14885864
53,LOC_Os01g01560,2.231961877,0.509466229
54,LOC_Os01g01570,107.3903633,2.034990672
55,LOC_Os01g01580,12.30094327,1.123882441
56,LOC_Os01g01590,3.907246116,0.69083784
57,LOC_Os01g01600,18.11355218,1.281341406
58,LOC_Os01g01610,15.66935302,1.221918744
59,LOC_Os01g01620,170.1848603,2.233465353
60,LOC_Os01g01640,174.2489682,2.24365547
61,LOC_Os01g01650,50.60295394,1.712674563
62,LOC_Os01g01660,235.7618874,2.374311793
63,LOC_Os01g01670,77.88955779,1.897019522
64,LOC_Os01g01680,19.05098773,1.302135771
65,LOC_Os01g01689,56.70272646,1.761196334
66,LOC_Os01g01700,216.5890803,2.337637096
67,LOC_Os01g01710,199.1912692,2.301445133
68,LOC_Os01g01720,66.61323846,1.830031738
69,LOC_Os01g01730,0.093348779,0.038758724
70,LOC_Os01g01740,46.95983523,1.680877682
71,LOC_Os01g01760,18.55608249,1.291281861
72,LOC_Os01g01770,8.286127108,0.967834624
73,LOC_Os01g01780,28.54726473,1.470517283
74,LOC_Os01g01790,109.5761669,2.043661531
75,LOC_Os01g01800,46.19322436,1.67387965
76,LOC_Os01g01810,0.189844613,0.075490249
77,LOC_Os01g01830,68.61752676,1.84271859
78,LOC_Os01g01840,6.681915283,0.885469513
79,LOC_Os01g01850,0.018079324,0.007781617
80,LOC_Os01g01860,0.034985562,0.014934291
81,LOC_Os01g01870,240.3073547,2.382570559
82,LOC_Os01g01880,1.061136507,0.314106756
83,LOC_Os01g01890,62.59591909,1.803429248
84,LOC_Os01g01900,0.014941661,0.00644108
85,LOC_Os01g01910,48.37538528,1.693510497
86,LOC_Os01g01920,95.15032921,1.982950776
87,LOC_Os01g01925,0.09639828,0.039968346
88,LOC_Os01g01930,8.790569869,0.990807971
89,LOC_Os01g01940,11.14049512,1.084236399
90,LOC_Os01g01950,3.178354255,0.621005258
91,LOC_Os01g01960,189.5986692,2.280119864
92,LOC_Os01g01970,42.07342314,1.634209387
93,LOC_Os01g01980,0.742403428,0.241148717
94,LOC_Os01g01990,0.784772245,0.251582804
95,LOC_Os01g02000,89.21119812,1.955260451
96,LOC_Os01g02010,173.4399951,2.241646066
97,LOC_Os01g02020,130.6480662,2.119414484
98,LOC_Os01g02040,64.34760762,1.815229693
99,LOC_Os01g02050,46.32036755,1.675048109
100,LOC_Os01g02060,100.2684775,2.005474281
101,LOC_Os01g02070,2.230453577,0.509263504
102,LOC_Os01g02080,66.10004872,1.826722836
103,LOC_Os01g02090,251.7343281,2.402664235
104,LOC_Os01g02100,48.46946352,1.694337201
105,LOC_Os01g02110,14.51675851,1.190801001
106,LOC_Os01g02120,61.34847764,1.794825854
107,LOC_Os01g02130,10.57229014,1.063419314
108,LOC_Os01g02139,210.0660581,2.324418399
109,LOC_Os01g02150,552.9034233,2.743434049
110,LOC_Os01g02160,145.757018,2.166598879
111,LOC_Os01g02170,12.58976039,1.133211799
112,LOC_Os01g02180,84.1354781,1.930110579
113,LOC_Os01g02190,2.722046862,0.570781837
114,LOC_Os01g02200,158.2246129,2.202010202
115,LOC_Os01g02210,0.074958555,0.03139172
116,LOC_Os01g02220,0,0
117,LOC_Os01g02230,0.065968868,0.027744521
118,LOC_Os01g02240,0.009729412,0.004205007
119,LOC_Os01g02250,0.316988468,0.119581972
120,LOC_Os01g02260,0.090071049,0.037454805
121,LOC_Os01g02270,4.43027403,0.734821746
122,LOC_Os01g02280,0.123571887,0.050600864
123,LOC_Os01g02290,64.5518647,1.81658505
124,LOC_Os01g02300,22.24139609,1.366262212
125,LOC_Os01g02310,5.621795804,0.820975784
126,LOC_Os01g02320,22.56427631,1.372254107
127,LOC_Os01g02334,44.24740277,1.655593655
128,LOC_Os01g02350,37.80167095,1.588850428
